# NEW Emerald Dream mini-set collectibles: 38 (not yet implemented)
FIR_777      MINION 2/1/3    PRIEST        Spirit of the Kaldorei             | <b>Taunt</b>, <b>Lifesteal</b> <b>Battlecry:</b> If you used your Hero Power this turn, gain +2/+2.
FIR_778      MINION 9/9/9    SHAMAN        Avatar of Destruction              | [x]<b>Taunt</b> <b>Deathrattle:</b> Deal 9 damage to all enemy minions.
FIR_900      SPELL  3        DEATHKNIGHT   Cremate                            | <b>Discover</b> a minion with a <b>Dark Gift</b>. It costs (2) less.
FIR_901      MINION 5/4/4    DEATHKNIGHT   Frostburn Matriarch                | <b>Battlecry:</b> If you're holding a minion with a <b>Dark Gift</b>, summon two 4/4 Dragons with <b>Taunt</b>.
FIR_902      SPELL  2        DEMONHUNTER   Sigil of Cinder                    | [x]At the start of your next turn, deal $6 damage randomly split among all enemies.
FIR_904      MINION 2/2/3    DEMONHUNTER   Felfire Blaze                      | [x]After you cast a Fel spell, destroy this and deal 2 damage to all enemies.
FIR_906      SPELL  3        DRUID         Overheat                           | Give your minions +1/+1. Discard a random Nature spell to give them +1/+1 more.
FIR_907      LOCATION 4        DRUID         Amirdrassil                        | [x]Summon a @-Cost minion. Gain @ Armor. Draw @ |4(card, cards). Refresh @ Mana Crystal. <i>(Improves each use!)</i>
FIR_908      MINION 1/1/2    DRUID         Charred Chameleon                  | <b>Battlecry:</b> If you've used your Hero Power this turn, give a friendly minion +1/+2 and <b>Rush</b>.
FIR_909      SPELL  2        HUNTER        Bursting Shot                      | Deal $2 damage to three random enemies.
FIR_910      SPELL  3        MAGE          Scorching Winds                    | Deal $3 damage. Discard a random Fire spell to deal $3 more.
FIR_911      SPELL  2        MAGE          Smoldering Grove                   | Draw {0} |4(card, cards). <i>(Upgrades each turn, but discards after {1}!)</i>@Draw {0} cards. <i>(Discards this turn!)</i>
FIR_913      MINION 4/3/6    MAGE          Inferno Herald                     | [x]After you cast a Fire spell, get a random Elemental and reduce its Cost by (3).
FIR_914      SPELL  1        PALADIN       Smoldering Strength                | Give a friendly minion +{0}/+{0}. <i>(Upgrades each turn, but discards after {1}!)</i>@Give a friendly minion +{0}/+{0}. <i>(Discards this turn!)</i>
FIR_916      SPELL  2        PRIEST        Smoldering Ascent                  | Deal ${0} damage to all enemy minions. <i>(Upgrades each turn, but discards after {1}!)</i>@Deal ${0} damage to all enemy minions. <i>(Discards this turn!)</i>
FIR_918      SPELL  3        PRIEST        Light of the New Moon              | [x]Give a minion +3/+3. <i>(Cast @ |4(spell, spells) to return this to your hand when played.)</i>
FIR_919      MINION 4/2/2    ROGUE         Everburning Phoenix                | Costs (1) less for each card you've played this turn. <b>Deathrattle:</b> Return this to your hand.
FIR_920      SPELL  2        ROGUE         Smoke Bomb                         | <b>Discover</b> a <b>Combo</b>, <b>Battlecry</b>, or <b>Stealth</b> minion with a <b>Dark Gift</b>.
FIR_921      MINION 3/2/3    NEUTRAL       Petal Picker                       | [x]<b>Battlecry:</b> If you've <b>Imbued</b> your Hero Power twice, draw 2 cards.
FIR_922      WEAPON 1/1/2    ROGUE         Cindersword                        | <b>Battlecry:</b> If you're holding a minion with a <b>Dark Gift</b>, gain +3 Attack.
